Startup Name 	Country 	Industry	Website
Ambr AI	United Kingdom	HRtech	https://www.ambr.ai/  
Connect by Circular-Lab	Spain	Healthtech	www.circular-lab.com 
Dana Health	Spain	Healthtech	https://dana.health/
Folio	Israel	SaaS	www.folio.build
Good With	United Kingdom	Fintech	https://www.goodwith.co
Hybr	United Kingdom	SaaS, Real Estate	www.hybr.co.uk
iVerse	Israel	HRtech	www.i-verse.online 
Material Evolution 	United Kingdom	Climate tech, Manufacturing	www.materialevolution.com
Metsystem	Denmark	Healthtech	www.metsystem.com
Noxon	Germany	Healthtech	https://noxon.io/
Punto Health	United Kingdom	Healthtech	https://puntohealth.com
ShareID	France	Cybersecurity	https://www.shareid.ai
Tech1M	United Kingdom	SaaS, HRtech	www.tech1m.com
V-Art	Ukraine	SaaS	https://v-art.digital/
Whering	United Kingdom	Fasion, Commerce	www.whering.co.uk
